"country","ccode"
"Albania",339
"Argentina",160
"Australia",900
"Austria",305
"Belgium",211
"Bolivia",145
"Botswana",571
"Brazil",140
"Bulgaria",355
"Canada",20
"Cape Verde",402
"Chile",155
"Comoros",581
"Costa Rica",94
"Croatia",344
"Cyprus",352
"Czech Republic",316
"Denmark",390
"Dominican Republic",42
"Ecuador",130
"Estonia",366
"Finland",375
"France",220
"Ghana",452
"Germany",255
"Greece",350
"Guatemala",90
"Hungary",310
"India",750
"Indonesia",850
"Ireland",205
"Italy",325
"Jamaica",51
"Japan",740
"Kenya",501
"Kosovo",341
"Latvia",367
"Lesotho",570
"Lithuania",368
"Luxembourg",212
"Macedonia",343
"Mauritius",590
"Mexico",70
"Moldova",359
"Montenegro",348
"Mongolia",712
"New Zealand",920
"Nicaragua",93
"Norway",385
"Netherlands",210
"Pakistan",770
"Panama",95
"Paraguay",150
"Peru",135
"Philippines",840
"Poland",290
"Portugal",235
"Korea South",732
"Romania",360
"South Africa",560
"El Salvador",92
"Serbia",342
"Slovak Republic",317
"Slovenia",349
"Solomon Islands",940
"Spain",230
"Sweden",380
"Switzerland",225
"Taiwan",713
"Thailand",800
"Trinidad and Tobago",52
"Turkey",640
"United Kingdom",200
"Uruguay",165
"United States",2
"Venezuela",101
