country,ccode,hos_title,hos_title_other,adjective,adjective_other,denonym,denonym_other,denonym_other_1
Albania,339,prime minister,,albanian,,albanians,,
Argentina,160,president,,argentine,argentinian,argentines,argentinians,
Australia,900,prime minister,,australian,,australians,,
Austria,305,chancellor,prime minister,austrian,,austrians,,
Belgium,211,prime minister,,belgian,,belgians,,
Bolivia,145,president,,bolivian,,bolivians,,
Botswana,571,president,,botswanan,motswana,batswana,motswana,
Brazil,140,president,,brazilian,,brazilians,,
Bulgaria,355,prime minister,,bulgarian,,bulgarians,,
Canada,20,prime minister,,canadian,,canadians,,
Cape Verde,402,prime minsiter,,cabo verdean,,cabo verdeans,,
Chile,155,president,,chilean,,chileans,,
Comoros,581,president,,comoron,comorian,comorans,comoroians,
Costa Rica,94,prime minister,,costa rican,,costa ricans,,
Croatia,344,prime minister,,croatian,,croatians,croats,
Cyprus,352,president,,cypriot,,cypriots,,
Czech Republic,316,prime minister,,czech,,czechs,,
Denmark,390,prime minister,,danish,,danes,,
Dominican Republic,42,president,,dominican,,dominican,,
Ecuador,130,president,,ecuadorian,,ecuadorians,,
El Salvador,92,president,,salvadoran,,salvadorans,salvadorians,salvadoreans
Estonia,366,prime minister,,estonian,,estonians,,
Finland,375,prime minister,,finnish,,fins,,
France,220,president,,french,,french,,
Germany,255,chancellor,,german,,germans,,
Ghana,452,president,,ghanaian,,ghanains,,
Greece,350,prime minister,,greek,hellenic,greeks,hellenes,
Guatemala,90,president,,guatemalan,,guatemalans,,
Hungary,310,prime minister,,hungarian,magyar,hungarians,magyars,
India,750,prime minister,,indian,,indians,,
Indonesia,850,president,,indonesian,,indonesians,,
Ireland,205,taoiseach ,prime minister,irish,,irish,,
Italy,325,prime minister,,italian,,italians,,
Jamaica,51,prime minister,,jamaican,,jamaicans,,
Japan,740,prime minister,,japanese,,japanese,,
Kenya,501,president,,kenyan,,kenyans,,
Korea South,732,president,,south korean,,south koreans,koreans,
Kosovo,341,prime minister,president,kosovar,kosovan,kosovars,,
Latvia,367,president,prime minister,latvian,lettish,latvians,letts,
Lesotho,570,prime minister,,basotho,,mosotho,basotho,
Lithuania,368,president,,lithuanian,,lithuanians,,
Luxembourg,212,prime minister,,luxembourg,luxembourgish,luxembourgers,,
Macedonia,343,prime minister,,macdenoian,,macedonians,,
Mauritius,590,prime minister,,mauritian,,mauritians,,
Mexico,70,president,,mexican,,mexicans,,
Moldova,359,prime minister,president,moldovan,,moldovans,,
Mongolia,712,president,,mongolian,,mongolians,mongols,
Montenegro,348,prime minister,,montenegrin,,montenegrins,,
Netherlands,210,prime minister,,dutch,netherlandic,dutch,netherlanders,
New Zealand,920,prime minister,,new zealand,new zealandic,new zealanders,kiwis,
Nicaragua,93,president,,nicaraguan,,nicaragaguans,,
Norway,385,prime minister,,norwegian,,norwegians,,
Pakistan,770,prime minister,president,pakistani,,pakistanis,,
Panama,95,president,,panamanian,,panamanians,,
Paraguay,150,president,,paraguayan,,paraguayans,,
Peru,135,prime minister,,peruvian,,peruvians,filipinas,
Philippines,840,president,,filipino,philippine,filipinos,,
Poland,290,prime minister,,polish,,poles,,
Portugal,235,prime minister,,portugese,,portugese,,
Romania,360,president,,romanian,,romanians,slovakians,
Serbia,342,prime minister,president,serbian,,serbians,serbs,
Slovak Republic,317,prime minister,,slovak,,slovaks,slovenians,
Slovenia,349,prime minister,,slovenian,slovene,slovenes,,
Solomon Islands,940,prime minister,,solomon island,,solomon islanders,,
South Africa,560,president,,south african,,south africans,,
Spain,230,prime minsiter,,spanish,,spaniards,,
Sweden,380,prime minister,,swedish,,swedes,,
Switzerland,225,president,federal council member,swiss,,swiss,,
Taiwan,713,president,,taiwanese,,taiwanese,,
Thailand,800,prime minister,,thai,,thais,tobagonians,
Trinidad and Tobago,52,prime minsiter,,trinidadian,tobagonian,trinidadians,,
Turkey,640,prime minister,president,turkish,,turks,,
United Kingdom,200,prime minister,,british,uk,britons,british,
United States,2,president,,american,u.s.,americans,,
Uruguay,165,president,,uruguayan,,uruguayans,,
Venezuela,101,president,,venezuelan,,venzuelans,,
